dataset,missing_rate,method,rmse,mae,n_points
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,Kalman,378852517.03801,222351032.4310088,30
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,ARIMA,120003667.05834606,90196117.38969068,30
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,HoltWinters,89328517.94049075,67899084.5641832,30
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,Linear,118949442.94119504,87736237.51666667,30
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,KNN_Sklearn,86139551.82766616,59412315.20830237,30
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,Spline,151121958.81968546,110826352.93087544,30
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,Mean,86139551.82766616,59412315.20830237,30
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,LOCF,155168518.59060538,104294169.66666667,30
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.2,SVD_KNN,122724131.94261414,80432723.38849276,60
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.2,SVD_KNN_Hankel,125264190.14588405,79996159.99679707,60
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.2,Kalman,271386500.64543784,186803539.6472677,60
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.2,ARIMA,181679091.03733644,106320186.0767741,60
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.2,HoltWinters,132919717.68819688,91801882.19298749,60
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.2,Linear,176733059.68628895,103309898.63055556,60
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.2,KNN_Sklearn,119953149.28155869,76908158.19121338,60
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.2,Spline,230222718.11696947,131599360.51935148,60
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.2,Mean,119953149.28155869,76908158.19121338,60
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.2,LOCF,253582886.85292897,120319670.91666667,60
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.3,SVD_KNN,109070277.09088579,73548545.9820345,90
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.3,SVD_KNN_Hankel,110729782.63577016,70621514.17038658,90
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.3,Kalman,270750805.62682027,179065601.91092527,90
