dataset_base,imputed_file,original_file,method,n,rmse,nrmse,nrmse_mode,missing_rate
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_mr10_Mean_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_longest.csv,Mean,1038,29923531.461160086,0.03191301665163445,range,
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_mr20_Mean_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_longest.csv,Mean,1038,45099425.05168779,0.04809788926556914,range,
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_mr30_Mean_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_longest.csv,Mean,1038,54844809.26047024,0.05849120159687352,range,
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_mr40_Mean_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_longest.csv,Mean,1038,61507190.57533621,0.0655965356085635,range,
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_mr10_SVD_KNN_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_longest.csv,SVD_KNN,1038,30812053.946203828,0.03286061312424187,range,
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_mr20_SVD_KNN_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_longest.csv,SVD_KNN,1038,46313077.61606445,0.04939223229946283,range,
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_mr30_SVD_KNN_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_longest.csv,SVD_KNN,1038,57729228.99807097,0.06156739383159803,range,
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_mr40_SVD_KNN_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_longest.csv,SVD_KNN,1038,63535603.812455475,0.06775980920134128,range,
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_mr10_SVD_KNN_Hankel_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_longest.csv,SVD_KNN_Hankel,1038,30049954.917114705,0.03204784545218139,range,
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_mr20_SVD_KNN_Hankel_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_longest.csv,SVD_KNN_Hankel,1038,46029892.07428891,0.04909021898522835,range,
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_mr30_SVD_KNN_Hankel_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_longest.csv,SVD_KNN_Hankel,1038,55613609.82229053,0.059311116357369034,range,
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_mr40_SVD_KNN_Hankel_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_longest.csv,SVD_KNN_Hankel,1038,63106988.12020756,0.06730269671976091,range,
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_mr10_Spline_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_longest.csv,Spline,1038,46684136.7290988,0.04978796151572783,range,
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_mr20_Spline_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_longest.csv,Spline,1038,68976991.6546519,0.07356297120584633,range,
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_mr30_Spline_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_longest.csv,Spline,1038,86104638.92730707,0.09182936109786262,range,
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_mr40_Spline_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_longest.csv,Spline,1038,112116200.85635959,0.11957031841282159,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_ARIMA_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,ARIMA,299,38011895.65158197,0.021877450254942993,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr20_ARIMA_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,ARIMA,299,81384921.22407618,0.046840457048031504,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr30_ARIMA_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,ARIMA,299,95845150.14198232,0.055162929090106935,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr40_ARIMA_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,ARIMA,299,109742647.19735897,0.06316152519497038,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_HoltWinters_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,HoltWinters,299,30536437.18434514,0.017575008402294694,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr20_HoltWinters_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,HoltWinters,299,59542825.73956467,0.03426940924220526,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr30_HoltWinters_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,HoltWinters,299,68765814.24381699,0.03957762838636925,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr40_HoltWinters_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,HoltWinters,299,82635234.20017967,0.047560064935744814,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_KNN_Sklearn_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,KNN_Sklearn,299,27285231.385243427,0.01570380224645359,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr20_KNN_Sklearn_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,KNN_Sklearn,299,53734311.122585766,0.03092636392942101,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr30_KNN_Sklearn_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,KNN_Sklearn,299,60381163.45011868,0.03475190797701185,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr40_KNN_Sklearn_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,KNN_Sklearn,299,71484314.07969162,0.04114223977730215,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_Kalman_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,Kalman,299,120003858.4940287,0.06906728537478421,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr20_Kalman_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,Kalman,299,121570519.3860493,0.06996896483969979,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr30_Kalman_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,Kalman,299,148544103.86673215,0.0854934011393949,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr40_Kalman_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,Kalman,299,186171520.95221978,0.10714956775247693,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_LOCF_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,LOCF,299,49150580.00209267,0.028288233211348063,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr20_LOCF_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,LOCF,299,113595197.95128539,0.06537883075232058,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr30_LOCF_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,LOCF,299,120785192.19915177,0.06951697589858814,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr40_LOCF_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,LOCF,299,126369518.3269339,0.07273099127387363,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_Linear_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,Linear,299,37677965.63754482,0.02168525943821307,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr20_Linear_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,Linear,299,79169486.35119793,0.045565380775363616,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr30_Linear_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,Linear,299,85406067.77611998,0.04915479660285222,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr40_Linear_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,Linear,299,95146771.40763909,0.054760982653134956,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_Mean_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,Mean,299,27285231.385243427,0.01570380224645359,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr20_Mean_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,Mean,299,53734311.122585766,0.03092636392942101,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr30_Mean_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,Mean,299,60381163.45011868,0.03475190797701185,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr40_Mean_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,Mean,299,71484314.07969162,0.04114223977730215,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_SVD_KNN_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,SVD_KNN,299,30648745.53883126,0.017639646600321062,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr20_SVD_KNN_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,SVD_KNN,299,54975602.78784204,0.03164077967199368,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr30_SVD_KNN_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,SVD_KNN,299,59840067.81238424,0.034440484600335046,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr40_SVD_KNN_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,SVD_KNN,299,72117156.7734796,0.041506467456959434,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_SVD_KNN_Hankel_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,SVD_KNN_Hankel,299,26552784.983702954,0.0152822484291699,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr20_SVD_KNN_Hankel_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,SVD_KNN_Hankel,299,56113449.3436137,0.032295658388115184,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr30_SVD_KNN_Hankel_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,SVD_KNN_Hankel,299,60750535.145828,0.03496449697737464,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr40_SVD_KNN_Hankel_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,SVD_KNN_Hankel,299,72219699.05680275,0.041565484868850526,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_Spline_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,Spline,299,47868807.37475581,0.02755051896658262,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr20_Spline_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,Spline,299,103130757.6072658,0.05935610367839263,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr30_Spline_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,Spline,299,110450622.17159647,0.06356899467301472,range,
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr40_Spline_imputed.csv,esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,Spline,299,143214242.448395,0.08242584094418116,range,
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr10_ARIMA_imputed.csv,esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_longest.csv,ARIMA,1035,20202539.547868207,0.03447790365504282,range,
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr20_ARIMA_imputed.csv,esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_longest.csv,ARIMA,1035,36243504.43051271,0.061853612557743715,range,
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr30_ARIMA_imputed.csv,esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_longest.csv,ARIMA,1035,42563317.38535241,0.07263908344661754,range,
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr40_ARIMA_imputed.csv,esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_longest.csv,ARIMA,1035,58905994.33938453,0.10052969789890136,range,
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr10_HoltWinters_imputed.csv,esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_longest.csv,HoltWinters,1035,20285575.68954268,0.034619614160583755,range,
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr20_HoltWinters_imputed.csv,esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_longest.csv,HoltWinters,1035,34253223.01796054,0.05845697370321727,range,
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr30_HoltWinters_imputed.csv,esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_longest.csv,HoltWinters,1035,39705285.145151384,0.06776153030597512,range,
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr40_HoltWinters_imputed.csv,esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_longest.csv,HoltWinters,1035,61370618.15255061,0.10473585535623106,range,
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr10_KNN_Sklearn_imputed.csv,esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_longest.csv,KNN_Sklearn,1035,18889946.13504721,0.03223781551571474,range,
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr20_KNN_Sklearn_imputed.csv,esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_longest.csv,KNN_Sklearn,1035,32979646.402320106,0.05628347211212647,range,
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr30_KNN_Sklearn_imputed.csv,esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_longest.csv,KNN_Sklearn,1035,37791682.30532217,0.06449575205125022,range,
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr40_KNN_Sklearn_imputed.csv,esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_longest.csv,KNN_Sklearn,1035,48122832.66973605,0.08212702093534496,range,
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr10_Kalman_imputed.csv,esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_longest.csv,Kalman,1035,57038097.53808523,0.09734192213436606,range,
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr20_Kalman_imputed.csv,esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_longest.csv,Kalman,1035,71580714.76151147,0.12216053240528937,range,
