file_imputed,file_original,len_imputed,len_original,dtw_distance,normalized_dtw,trend_correlation,trend_dtw,seasonality_period_orig,seasonality_period_imp,seasonality_period_diff,seasonality_strength_orig,seasonality_strength_imp,seasonality_strength_diff,spectral_similarity,acf_similarity,overall_score
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_mr40_SVD_KNN.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,76346718461.53792,142172660.0773518,-0.13653475418593713,147941624.5437183,107,,,0.1162079031088894,,,0.9993843759597236,0.8217001638535648,0.5615165952091171
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_mr40_SVD_KNN_Hankel.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,488,488,71607719152.0578,146737129.40995452,-0.01593841492020556,138569759.76756182,46,3.0,43.0,0.10434731957892816,0.7632103708276281,0.6588630512486999,0.9905431842415071,0.7077148296553673,0.5607731996588896
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_mr30_Linear.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,54256390376.69722,101036108.70893337,-0.1564377923244006,128048657.0907791,107,4.0,103.0,0.1162079031088894,0.10841721537989782,0.00779068772899158,0.9992993593385197,0.8390765636559798,0.5606460435566997
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_mr10_SVD_KNN.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,488,488,72363349492.09435,148285552.23789826,-0.005380324285518282,145406842.88057336,46,3.0,43.0,0.10434731957892816,0.7242055636262353,0.6198582440473072,0.986699913130063,0.6924790114095326,0.5579328667513591
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_mr10_SVD_KNN_Hankel.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,488,488,76223174968.95985,156195030.67409807,-0.006741699596211433,150860553.91917562,46,,,0.10434731957892816,,,0.9833188547120317,0.696687966323481,0.5577550404797671
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_mr20_LOCF.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,322049123778.6168,599719038.693886,-0.1051192940664291,600019022.4423474,107,24.0,83.0,0.1162079031088894,0.10505817256135014,0.01114973054753926,0.9957828061756466,0.7825322051614154,0.5577319057568776
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_mr40_LOCF.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,54022823704.21669,100601161.46036628,-0.1666853174805619,130379698.6574146,107,39.0,68.0,0.1162079031088894,0.1022536653419048,0.013954237766984595,0.9993105756410267,0.8373724294679448,0.5566658958761365
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_mr10_LOCF.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,488,488,77273113911.51665,158346544.90064886,-0.008324783431065925,157893746.596804,46,,,0.10434731957892816,,,0.9824945873128512,0.6933553758356631,0.5558417265724828
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_mr20_Linear.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,322026864775.8195,599677588.0369079,-0.104682147854638,599951456.5496377,107,,,0.1162079031088894,,,0.9959640630241128,0.7740546060622288,0.5551121737439012
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr10_Spline.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,525,525,68541546901.00674,130555327.43048902,-0.002920891291842045,151595997.75521502,46,29.0,17.0,0.10187996289594925,0.12013765249766938,0.018257689601720126,0.9991025327064921,0.6673655805562853,0.5545157406569784
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_mr40_LOCF.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,488,488,83025191687.18329,170133589.5229166,-0.02797028719482164,162713912.2819791,46,,,0.10434731957892816,,,0.9822828626089658,0.7071921678475268,0.553834914420557
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_mr40_Spline.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,323746514179.1289,602879914.6724933,-0.18989273709536109,599663936.3749117,107,,,0.1162079031088894,,,0.9617688786642739,0.8845533166208571,0.5521431527299233
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_mr40_SVD_KNN.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,320773501005.4783,597343577.2913934,-0.18880078184263913,601876833.6080216,107,83.0,24.0,0.1162079031088894,0.11395715402887129,0.0022507490800181135,0.9972066117125414,0.8395511593530138,0.5493189964076387
