dataset_base,imputed_file,original_file,method,n,rmse,nrmse,nrmse_mode,missing_rate,dominant_period,periodicity_strength
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_mr10_SVD_KNN_Hankel.csv,esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_longest.csv,Hankel,1018,8341030.209628824,0.0118372883957596,range,,6.79,0.010083119196151706
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_mr20_SVD_KNN_Hankel.csv,esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_longest.csv,Hankel,1018,10703133.19788402,0.0151894995243303,range,,6.79,0.010083119196151706
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_mr30_SVD_KNN_Hankel.csv,esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_longest.csv,Hankel,1018,12626480.54808069,0.0179190445202489,range,,6.79,0.010083119196151706
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_mr40_SVD_KNN_Hankel.csv,esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_longest.csv,Hankel,1018,25139934.827481814,0.0356776862479133,range,,6.79,0.010083119196151706
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_mr10_SVD_KNN_Hankel.csv,esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_longest.csv,Hankel,1227,15963193.633632915,0.0426433023605868,range,,61.35,0.00915400251092869
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_mr20_SVD_KNN_Hankel.csv,esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_longest.csv,Hankel,1227,24765625.619554847,0.0661576928578187,range,,61.35,0.00915400251092869
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_mr30_SVD_KNN_Hankel.csv,esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_longest.csv,Hankel,1227,31345020.58121272,0.0837335699121802,range,,61.35,0.00915400251092869
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_mr40_SVD_KNN_Hankel.csv,esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_longest.csv,Hankel,1227,37527419.23800112,0.1002489302646133,range,,61.35,0.00915400251092869
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023,esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_mr10_SVD_KNN_Hankel.csv,esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_longest.csv,Hankel,1102,13810820.974391963,0.0406205958502235,range,,29.0,0.010570857682699289
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023,esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_mr20_SVD_KNN_Hankel.csv,esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_longest.csv,Hankel,1102,19816233.201706894,0.0582838052605888,range,,29.0,0.010570857682699289
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023,esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_mr30_SVD_KNN_Hankel.csv,esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_longest.csv,Hankel,1102,24902041.529193327,0.0732422617510165,range,,29.0,0.010570857682699289
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023,esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_mr40_SVD_KNN_Hankel.csv,esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_longest.csv,Hankel,1102,28146157.6325564,0.0827839051746954,range,,29.0,0.010570857682699289
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023,esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_mr10_SVD_KNN_Hankel.csv,esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_longest.csv,Hankel,731,30453301.81201801,0.0534493877041626,range,,7.03,0.0193408545977737
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023,esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_mr20_SVD_KNN_Hankel.csv,esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_longest.csv,Hankel,731,42194242.2293543,0.0740562197728622,range,,7.03,0.0193408545977737
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023,esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_mr30_SVD_KNN_Hankel.csv,esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_longest.csv,Hankel,731,52586259.77272495,0.0922955219717744,range,,7.03,0.0193408545977737
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023,esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_mr40_SVD_KNN_Hankel.csv,esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_longest.csv,Hankel,731,63438436.81929775,0.1113424621681763,range,,7.03,0.0193408545977737
