dataset,method,rmse,mae,n_points,missing_percentage
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,LOCF,0.0,0.0,124,17.318435754189945
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,SoftImpute,0.0,0.0,124,17.318435754189945
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,IterativeSVD,0.0,0.0,124,17.318435754189945
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h,SVD_KNN,0.0,0.0,106,14.783821478382148
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h,SVD_KNN_Hankel,0.0,0.0,106,14.783821478382148
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h,Kalman,0.0,0.0,106,14.783821478382148
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h,ARIMA,0.0,0.0,106,14.783821478382148
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h,HoltWinters,0.0,0.0,106,14.783821478382148
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h,Linear,0.0,0.0,106,14.783821478382148
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h,KNN_Sklearn,0.0,0.0,106,14.783821478382148
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h,Spline,0.0,0.0,106,14.783821478382148
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h,Mean,0.0,0.0,106,14.783821478382148
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h,LOCF,0.0,0.0,106,14.783821478382148
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h,SoftImpute,0.0,0.0,106,14.783821478382148
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h,IterativeSVD,0.0,0.0,106,14.783821478382148
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h,SVD_KNN,0.0,0.0,134,18.61111111111111
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h,SVD_KNN_Hankel,0.0,0.0,134,18.61111111111111
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h,Kalman,0.0,0.0,134,18.61111111111111
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h,ARIMA,0.0,0.0,134,18.61111111111111
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h,HoltWinters,0.0,0.0,134,18.61111111111111
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h,Linear,0.0,0.0,134,18.61111111111111
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h,KNN_Sklearn,0.0,0.0,134,18.61111111111111
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h,Spline,0.0,0.0,134,18.61111111111111
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h,Mean,0.0,0.0,134,18.61111111111111
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h,LOCF,0.0,0.0,134,18.61111111111111
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h,SoftImpute,0.0,0.0,134,18.61111111111111
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h,IterativeSVD,0.0,0.0,134,18.61111111111111
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h,SVD_KNN,0.0,0.0,270,37.709497206703915
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h,SVD_KNN_Hankel,0.0,0.0,270,37.709497206703915
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h,Kalman,0.0,0.0,270,37.709497206703915
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h,ARIMA,0.0,0.0,270,37.709497206703915
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h,HoltWinters,0.0,0.0,270,37.709497206703915
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h,Linear,0.0,0.0,270,37.709497206703915
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h,KNN_Sklearn,0.0,0.0,270,37.709497206703915
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h,Spline,0.0,0.0,270,37.709497206703915
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h,Mean,0.0,0.0,270,37.709497206703915
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h,LOCF,0.0,0.0,270,37.709497206703915
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h,SoftImpute,0.0,0.0,270,37.709497206703915
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h,IterativeSVD,0.0,0.0,270,37.709497206703915
