Data,Intervalo,Vazao
 13-6-2023,18:00:00 a 23:59:59,861142205.5
 14-6-2023,00:00:00 a 05:59:59,883427797.0
 14-6-2023,06:00:00 a 11:59:59,903873075.0
 14-6-2023,12:00:00 a 17:59:59,823656365.0
 14-6-2023,18:00:00 a 23:59:59,899941059.5
 15-6-2023,00:00:00 a 05:59:59,902300098.5
 15-6-2023,06:00:00 a 11:59:59,879754032.0
 15-6-2023,12:00:00 a 17:59:59,877134788.5
 15-6-2023,18:00:00 a 23:59:59,893650472.5
 16-6-2023,00:00:00 a 05:59:59,928515672.0
 16-6-2023,06:00:00 a 11:59:59,886571717.0
 16-6-2023,12:00:00 a 17:59:59,902038478.0
 16-6-2023,18:00:00 a 23:59:59,878179458.0
 17-6-2023,00:00:00 a 05:59:59,906756291.0
 17-6-2023,06:00:00 a 11:59:59,897058719.5
 17-6-2023,12:00:00 a 17:59:59,860358302.0
 17-6-2023,18:00:00 a 23:59:59,851968681.0
 18-6-2023,00:00:00 a 05:59:59,879495431.0
 18-6-2023,06:00:00 a 11:59:59,886571687.5
 18-6-2023,12:00:00 a 17:59:59,894173710.5
 18-6-2023,18:00:00 a 23:59:59,908592239.5
 19-6-2023,00:00:00 a 05:59:59,900203897.5
 19-6-2023,06:00:00 a 11:59:59,874774749.0
 19-6-2023,12:00:00 a 17:59:59,892340445.5
 19-6-2023,18:00:00 a 23:59:59,914097749.0
 20-6-2023,00:00:00 a 05:59:59,892337985.5
 20-6-2023,06:00:00 a 11:59:59,916193968.5
 20-6-2023,12:00:00 a 17:59:59,887357158.5
 20-6-2023,18:00:00 a 23:59:59,882641274.0
 21-6-2023,00:00:00 a 05:59:59,894434561.5
 21-6-2023,06:00:00 a 11:59:59,893651667.0
 21-6-2023,12:00:00 a 17:59:59,882378115.0
 21-6-2023,18:00:00 a 23:59:59,905317981.5
 22-6-2023,00:00:00 a 05:59:59,904126473.0
 22-6-2023,06:00:00 a 11:59:59,901515637.0
 22-6-2023,12:00:00 a 17:59:59,895223009.5
 22-6-2023,18:00:00 a 23:59:59,904399807.0
 23-6-2023,00:00:00 a 05:59:59,878184463.5
 23-6-2023,06:00:00 a 11:59:59,860882454.0
 23-6-2023,12:00:00 a 17:59:59,886310448.5
 23-6-2023,18:00:00 a 23:59:59,877657828.5
 24-6-2023,00:00:00 a 05:59:59,890765118.0
 24-6-2023,06:00:00 a 11:59:59,871891249.0
 24-6-2023,12:00:00 a 17:59:59,878707846.5
 24-6-2023,18:00:00 a 23:59:59,883955004.0
 25-6-2023,00:00:00 a 05:59:59,928515672.0
 25-6-2023,06:00:00 a 11:59:59,878707518.5
 25-6-2023,12:00:00 a 17:59:59,844104692.0
 25-6-2023,18:00:00 a 23:59:59,880544907.0
 26-6-2023,00:00:00 a 05:59:59,924846205.0
 26-6-2023,06:00:00 a 11:59:59,921699363.0
 26-6-2023,12:00:00 a 17:59:59,888931996.0
 26-6-2023,18:00:00 a 23:59:59,896531777.5
 27-6-2023,00:00:00 a 05:59:59,878706468.0
 27-6-2023,06:00:00 a 11:59:59,906232856.0
 27-6-2023,12:00:00 a 17:59:59,874513917.0
 27-6-2023,18:00:00 a 23:59:59,897320728.5
 28-6-2023,00:00:00 a 05:59:59,893388226.0
 28-6-2023,06:00:00 a 11:59:59,898892606.0
 28-6-2023,12:00:00 a 17:59:59,908329332.0
 28-6-2023,18:00:00 a 23:59:59,843572348.0
 29-6-2023,00:00:00 a 05:59:59,871366703.0
 29-6-2023,06:00:00 a 11:59:59,877135554.0
 29-6-2023,12:00:00 a 17:59:59,900726288.0
 29-6-2023,18:00:00 a 23:59:59,861929816.0
 30-6-2023,00:00:00 a 05:59:59,874778504.5
 30-6-2023,06:00:00 a 11:59:59,863505444.0
 30-6-2023,12:00:00 a 17:59:59,879231899.0
 30-6-2023,18:00:00 a 23:59:59,886571761.0
 1-7-2023,00:00:00 a 05:59:59,886572160.0
 1-7-2023,06:00:00 a 11:59:59,871367764.5
 1-7-2023,12:00:00 a 17:59:59,925893950.0
 1-7-2023,18:00:00 a 23:59:59,911737515.0
 2-7-2023,00:00:00 a 05:59:59,927990316.0
 2-7-2023,06:00:00 a 11:59:59,-1
 2-7-2023,12:00:00 a 17:59:59,884214011.5
 2-7-2023,18:00:00 a 23:59:59,887885602.0
 3-7-2023,00:00:00 a 05:59:59,877922046.5
 3-7-2023,06:00:00 a 11:59:59,859832003.5
 3-7-2023,12:00:00 a 17:59:59,897582806.0
 3-7-2023,18:00:00 a 23:59:59,897318752.5
 4-7-2023,00:00:00 a 05:59:59,893911492.0
 4-7-2023,06:00:00 a 11:59:59,868219538.5
 4-7-2023,12:00:00 a 17:59:59,895222316.0
 4-7-2023,18:00:00 a 23:59:59,897579916.0
 5-7-2023,00:00:00 a 05:59:59,894438791.0
 5-7-2023,06:00:00 a 11:59:59,870581662.5
 5-7-2023,12:00:00 a 17:59:59,864549528.0
 5-7-2023,18:00:00 a 23:59:59,900203081.0
 6-7-2023,00:00:00 a 05:59:59,880542486.5
 6-7-2023,06:00:00 a 11:59:59,899679017.0
 6-7-2023,12:00:00 a 17:59:59,894698577.5
 6-7-2023,18:00:00 a 23:59:59,895486596.0
 7-7-2023,00:00:00 a 05:59:59,893387824.0
 7-7-2023,06:00:00 a 11:59:59,923795779.0
 7-7-2023,12:00:00 a 17:59:59,910425996.5
 7-7-2023,18:00:00 a 23:59:59,881853429.0
 8-7-2023,00:00:00 a 05:59:59,893386921.5
 8-7-2023,06:00:00 a 11:59:59,899676111.5
 8-7-2023,12:00:00 a 17:59:59,903864648.0
 8-7-2023,18:00:00 a 23:59:59,889196449.0
 9-7-2023,00:00:00 a 05:59:59,887621534.5
 9-7-2023,06:00:00 a 11:59:59,896532063.5
 9-7-2023,12:00:00 a 17:59:59,883687643.0
 9-7-2023,18:00:00 a 23:59:59,874513949.0
 10-7-2023,00:00:00 a 05:59:59,894437564.0
 10-7-2023,06:00:00 a 11:59:59,899941601.5
 10-7-2023,12:00:00 a 17:59:59,901255866.0
 10-7-2023,18:00:00 a 23:59:59,914096466.0
 11-7-2023,00:00:00 a 05:59:59,883424852.5
 11-7-2023,06:00:00 a 11:59:59,910688756.0
 11-7-2023,12:00:00 a 17:59:59,898629962.0
 11-7-2023,18:00:00 a 23:59:59,898893148.5
 12-7-2023,00:00:00 a 05:59:59,914883566.0
 12-7-2023,06:00:00 a 11:59:59,-1
 12-7-2023,12:00:00 a 17:59:59,919078794.0
 12-7-2023,18:00:00 a 23:59:59,892337529.5
 13-7-2023,00:00:00 a 05:59:59,886833132.0
 13-7-2023,06:00:00 a 11:59:59,903341855.0
 13-7-2023,12:00:00 a 17:59:59,893387511.0
 13-7-2023,18:00:00 a 23:59:59,919601518.5
 14-7-2023,00:00:00 a 05:59:59,902824052.0
 14-7-2023,06:00:00 a 11:59:59,865346199.5
 14-7-2023,12:00:00 a 17:59:59,865338181.0
 14-7-2023,18:00:00 a 23:59:59,906756481.0
 15-7-2023,00:00:00 a 05:59:59,900988774.5
 15-7-2023,06:00:00 a 11:59:59,901774666.5
 15-7-2023,12:00:00 a 17:59:59,893388503.0
 15-7-2023,18:00:00 a 23:59:59,886573062.5
 16-7-2023,00:00:00 a 05:59:59,887882038.5
 16-7-2023,06:00:00 a 11:59:59,873726307.0
 16-7-2023,12:00:00 a 17:59:59,889717627.0
 16-7-2023,18:00:00 a 23:59:59,878709599.5
 17-7-2023,00:00:00 a 05:59:59,895745600.0
 17-7-2023,06:00:00 a 11:59:59,-1
 17-7-2023,12:00:00 a 17:59:59,-1
 17-7-2023,18:00:00 a 23:59:59,886047321.0
 18-7-2023,00:00:00 a 05:59:59,884734690.5
 18-7-2023,06:00:00 a 11:59:59,897060715.0
 18-7-2023,12:00:00 a 17:59:59,-1
 18-7-2023,18:00:00 a 23:59:59,902824567.0
 19-7-2023,00:00:00 a 05:59:59,921700276.0
 19-7-2023,06:00:00 a 11:59:59,904133717.5
 19-7-2023,12:00:00 a 17:59:59,885014306.5
 19-7-2023,18:00:00 a 23:59:59,889453912.5
 20-7-2023,00:00:00 a 05:59:59,898630911.0
 20-7-2023,06:00:00 a 11:59:59,879495217.0
 20-7-2023,12:00:00 a 17:59:59,889191763.5
 20-7-2023,18:00:00 a 23:59:59,839912105.0
 21-7-2023,00:00:00 a 05:59:59,845715633.5
 21-7-2023,06:00:00 a 11:59:59,880804104.0
 21-7-2023,12:00:00 a 17:59:59,876609510.0
 21-7-2023,18:00:00 a 23:59:59,898892888.0
 22-7-2023,00:00:00 a 05:59:59,828367419.0
 22-7-2023,06:00:00 a 11:59:59,867434257.0
 22-7-2023,12:00:00 a 17:59:59,895222115.0
 22-7-2023,18:00:00 a 23:59:59,901776216.0
 23-7-2023,00:00:00 a 05:59:59,920126314.0
 23-7-2023,06:00:00 a 11:59:59,901513268.5
 23-7-2023,12:00:00 a 17:59:59,906757225.5
 23-7-2023,18:00:00 a 23:59:59,893125215.0
 24-7-2023,00:00:00 a 05:59:59,885785483.0
 24-7-2023,06:00:00 a 11:59:59,888667753.5
 24-7-2023,12:00:00 a 17:59:59,872942809.0
 24-7-2023,18:00:00 a 23:59:59,920128292.0
 25-7-2023,00:00:00 a 05:59:59,901250628.0
 25-7-2023,06:00:00 a 11:59:59,894173014.0
 25-7-2023,12:00:00 a 17:59:59,905708720.0
 25-7-2023,18:00:00 a 23:59:59,889979612.0
 26-7-2023,00:00:00 a 05:59:59,871367370.5
 26-7-2023,06:00:00 a 11:59:59,-1
 26-7-2023,12:00:00 a 17:59:59,904398316.5
 26-7-2023,18:00:00 a 23:59:59,898369514.0
 27-7-2023,00:00:00 a 05:59:59,858259584.0
 27-7-2023,06:00:00 a 11:59:59,913834897.0
 27-7-2023,12:00:00 a 17:59:59,898631081.0
 27-7-2023,18:00:00 a 23:59:59,892863758.0
 28-7-2023,00:00:00 a 05:59:59,888405800.5
 28-7-2023,06:00:00 a 11:59:59,868745693.0
 28-7-2023,12:00:00 a 17:59:59,866126677.0
 28-7-2023,18:00:00 a 23:59:59,863501765.5
 29-7-2023,00:00:00 a 05:59:59,898630036.0
 29-7-2023,06:00:00 a 11:59:59,886572863.0
 29-7-2023,12:00:00 a 17:59:59,899941475.0
 29-7-2023,18:00:00 a 23:59:59,890767583.0
 30-7-2023,00:00:00 a 05:59:59,926416803.0
 30-7-2023,06:00:00 a 11:59:59,879757050.5
 30-7-2023,12:00:00 a 17:59:59,-1
 30-7-2023,18:00:00 a 23:59:59,910951403.5
 31-7-2023,00:00:00 a 05:59:59,879756417.0
 31-7-2023,06:00:00 a 11:59:59,893649881.0
 31-7-2023,12:00:00 a 17:59:59,861666978.5
 31-7-2023,18:00:00 a 23:59:59,891552851.5
 1-8-2023,00:00:00 a 05:59:59,869270634.0
 1-8-2023,06:00:00 a 11:59:59,895484985.0
 1-8-2023,12:00:00 a 17:59:59,892337622.0
 1-8-2023,18:00:00 a 23:59:59,891552826.0
 2-8-2023,00:00:00 a 05:59:59,879491950.0
 2-8-2023,06:00:00 a 11:59:59,-1
 2-8-2023,12:00:00 a 17:59:59,907021187.0
 2-8-2023,18:00:00 a 23:59:59,884735249.5
 3-8-2023,00:00:00 a 05:59:59,907544601.5
 3-8-2023,06:00:00 a 11:59:59,878182816.0
 3-8-2023,12:00:00 a 17:59:59,891289200.5
 3-8-2023,18:00:00 a 23:59:59,872416191.0
 4-8-2023,00:00:00 a 05:59:59,886572308.5
 4-8-2023,06:00:00 a 11:59:59,892075926.0
 4-8-2023,12:00:00 a 17:59:59,890765956.5
 4-8-2023,18:00:00 a 23:59:59,887358814.0
 5-8-2023,00:00:00 a 05:59:59,897582638.5
 5-8-2023,06:00:00 a 11:59:59,904134843.0
 5-8-2023,12:00:00 a 17:59:59,873201104.5
 5-8-2023,18:00:00 a 23:59:59,895482922.5
 6-8-2023,00:00:00 a 05:59:59,905354981.5
 6-8-2023,06:00:00 a 11:59:59,-1
 6-8-2023,12:00:00 a 17:59:59,882375203.5
 6-8-2023,18:00:00 a 23:59:59,870841850.5
 7-8-2023,00:00:00 a 05:59:59,871367048.0
 7-8-2023,06:00:00 a 11:59:59,900725703.0
 7-8-2023,12:00:00 a 17:59:59,893125445.0
 7-8-2023,18:00:00 a 23:59:59,910692308.0
 8-8-2023,00:00:00 a 05:59:59,888669361.0
 8-8-2023,06:00:00 a 11:59:59,900203558.5
 8-8-2023,12:00:00 a 17:59:59,900203520.0
 8-8-2023,18:00:00 a 23:59:59,892340464.0
 9-8-2023,00:00:00 a 05:59:59,914881722.5
 9-8-2023,06:00:00 a 11:59:59,890504360.0
 9-8-2023,12:00:00 a 17:59:59,907543956.5
 9-8-2023,18:00:00 a 23:59:59,903603293.5
 10-8-2023,00:00:00 a 05:59:59,893904398.0
 10-8-2023,06:00:00 a 11:59:59,896798796.0
 10-8-2023,12:00:00 a 17:59:59,892859294.0
 10-8-2023,18:00:00 a 23:59:59,880542113.5
 11-8-2023,00:00:00 a 05:59:59,885523473.0
 11-8-2023,06:00:00 a 11:59:59,898367802.5
 11-8-2023,12:00:00 a 17:59:59,884212983.0
 11-8-2023,18:00:00 a 23:59:59,868483743.5
 12-8-2023,00:00:00 a 05:59:59,903349239.0
 12-8-2023,06:00:00 a 11:59:59,870580858.0
 12-8-2023,12:00:00 a 17:59:59,855115181.0
 12-8-2023,18:00:00 a 23:59:59,880541305.0
 13-8-2023,00:00:00 a 05:59:59,879230126.5
 13-8-2023,06:00:00 a 11:59:59,913835628.0
 13-8-2023,12:00:00 a 17:59:59,903088897.0
 13-8-2023,18:00:00 a 23:59:59,877133297.5
 14-8-2023,00:00:00 a 05:59:59,885522716.0
 14-8-2023,06:00:00 a 11:59:59,885785347.5
 14-8-2023,12:00:00 a 17:59:59,903344814.5
 14-8-2023,18:00:00 a 23:59:59,883950009.0
 15-8-2023,00:00:00 a 05:59:59,892601409.5
 15-8-2023,06:00:00 a 11:59:59,918291556.0
 15-8-2023,12:00:00 a 17:59:59,919080356.0
 15-8-2023,18:00:00 a 23:59:59,873993689.0
 16-8-2023,00:00:00 a 05:59:59,891553208.5
 16-8-2023,06:00:00 a 11:59:59,862453932.0
 16-8-2023,12:00:00 a 17:59:59,891553393.5
 16-8-2023,18:00:00 a 23:59:59,883952003.0
 17-8-2023,00:00:00 a 05:59:59,887093319.0
 17-8-2023,06:00:00 a 11:59:59,867173219.0
 17-8-2023,12:00:00 a 17:59:59,919866128.5
 17-8-2023,18:00:00 a 23:59:59,892339925.0
 18-8-2023,00:00:00 a 05:59:59,889978287.5
 18-8-2023,06:00:00 a 11:59:59,890241614.5
 18-8-2023,12:00:00 a 17:59:59,861927274.0
 18-8-2023,18:00:00 a 23:59:59,892864533.0
 19-8-2023,00:00:00 a 05:59:59,864814803.0
 19-8-2023,06:00:00 a 11:59:59,895224345.5
 19-8-2023,12:00:00 a 17:59:59,891290657.5
 19-8-2023,18:00:00 a 23:59:59,896009423.5
 20-8-2023,00:00:00 a 05:59:59,888932749.0
 20-8-2023,06:00:00 a 11:59:59,891291766.5
 20-8-2023,12:00:00 a 17:59:59,889718693.0
 20-8-2023,18:00:00 a 23:59:59,906230849.0
 21-8-2023,00:00:00 a 05:59:59,905446619.5
 21-8-2023,06:00:00 a 11:59:59,883425875.0
 21-8-2023,12:00:00 a 17:59:59,-1
 21-8-2023,18:00:00 a 23:59:59,881591759.5
 22-8-2023,00:00:00 a 05:59:59,883949819.0
 22-8-2023,06:00:00 a 11:59:59,884211268.5
 22-8-2023,12:00:00 a 17:59:59,891289665.0
 22-8-2023,18:00:00 a 23:59:59,875301728.0
 23-8-2023,00:00:00 a 05:59:59,891813977.0
 23-8-2023,06:00:00 a 11:59:59,905969140.5
 23-8-2023,12:00:00 a 17:59:59,890766247.0
 23-8-2023,18:00:00 a 23:59:59,909114323.5
 24-8-2023,00:00:00 a 05:59:59,912525644.5
 24-8-2023,06:00:00 a 11:59:59,885260244.0
 24-8-2023,12:00:00 a 17:59:59,899165654.0
 24-8-2023,18:00:00 a 23:59:59,888146124.5
 25-8-2023,00:00:00 a 05:59:59,904921606.0
 25-8-2023,06:00:00 a 11:59:59,910688463.5
 25-8-2023,12:00:00 a 17:59:59,871892251.0
 25-8-2023,18:00:00 a 23:59:59,894435104.0
 26-8-2023,00:00:00 a 05:59:59,896794973.5
 26-8-2023,06:00:00 a 11:59:59,906494147.0
 26-8-2023,12:00:00 a 17:59:59,912261675.5
 26-8-2023,18:00:00 a 23:59:59,891552575.0
 27-8-2023,00:00:00 a 05:59:59,903875630.0
 27-8-2023,06:00:00 a 11:59:59,891815329.5
 27-8-2023,12:00:00 a 17:59:59,843059319.0
 27-8-2023,18:00:00 a 23:59:59,905970450.5
 28-8-2023,00:00:00 a 05:59:59,854066413.0
 28-8-2023,06:00:00 a 11:59:59,-1
 28-8-2023,12:00:00 a 17:59:59,886572250.0
 28-8-2023,18:00:00 a 23:59:59,883163867.5
 29-8-2023,00:00:00 a 05:59:59,877394484.5
 29-8-2023,06:00:00 a 11:59:59,873465685.0
 29-8-2023,12:00:00 a 17:59:59,907019579.5
 29-8-2023,18:00:00 a 23:59:59,889718673.5
 30-8-2023,00:00:00 a 05:59:59,873728332.5
 30-8-2023,06:00:00 a 11:59:59,878707133.5
 30-8-2023,12:00:00 a 17:59:59,883428200.0
 30-8-2023,18:00:00 a 23:59:59,920123219.5
 31-8-2023,00:00:00 a 05:59:59,866909465.5
 31-8-2023,06:00:00 a 11:59:59,885253174.5
 31-8-2023,12:00:00 a 17:59:59,900727099.0
 31-8-2023,18:00:00 a 23:59:59,848296838.0
 1-9-2023,00:00:00 a 05:59:59,895747532.5
 1-9-2023,06:00:00 a 11:59:59,889719053.0
 1-9-2023,12:00:00 a 17:59:59,905181283.0
 1-9-2023,18:00:00 a 23:59:59,871372380.5
 2-9-2023,00:00:00 a 05:59:59,884735857.0
 2-9-2023,06:00:00 a 11:59:59,880805428.0
 2-9-2023,12:00:00 a 17:59:59,876872566.0
 2-9-2023,18:00:00 a 23:59:59,897056253.5
 3-9-2023,00:00:00 a 05:59:59,873202275.0
 3-9-2023,06:00:00 a 11:59:59,854066219.0
 3-9-2023,12:00:00 a 17:59:59,925893302.0
 3-9-2023,18:00:00 a 23:59:59,903877120.0
 4-9-2023,00:00:00 a 05:59:59,870317457.0
 4-9-2023,06:00:00 a 11:59:59,921175812.0
 4-9-2023,12:00:00 a 17:59:59,895483053.0
 4-9-2023,18:00:00 a 23:59:59,887094376.5
 5-9-2023,00:00:00 a 05:59:59,883426675.5
 5-9-2023,06:00:00 a 11:59:59,869269677.0
 5-9-2023,12:00:00 a 17:59:59,880541218.0
 5-9-2023,18:00:00 a 23:59:59,878708140.0
 6-9-2023,00:00:00 a 05:59:59,927991615.0
 6-9-2023,06:00:00 a 11:59:59,883686716.0
 6-9-2023,12:00:00 a 17:59:59,882902112.0
 6-9-2023,18:00:00 a 23:59:59,910166149.5
 7-9-2023,00:00:00 a 05:59:59,892338886.0
