id_dataset,missing_rate,imputation,rmse,nrmse,nrmse_mean,mae,mape,r2
124,20,linear_interpolation,103107.87205166178,0.0873166457321644,0.7758200429189558,60469.432250531005,144.81592390019668,0.6060514746735823
124,20,moving_average,101298.24428485632,0.0857841669458496,0.7622037645129103,61500.58527857426,165.07205443061218,0.6197583659978563
124,20,pca,164367.48862819586,0.1391942001018383,1.2367590325025302,121379.60542684498,811.2842035941352,-0.0011235334222925
124,20,softimpute,211303.66042440807,0.1789419807824486,1.589923365087571,132901.78952289923,99.99999999999932,-0.6545118120831688
124,20,throughput_svd_knn,112138.914332524,0.0949645614900916,0.8437727944453464,70467.90276385171,260.15006884108294,0.5340186603586409
124,30,arima,130569.72500903238,0.05737704477793,0.9802576776163378,74798.64694458545,266.83631590749155,0.4324264161261321
124,30,kalman,137512.57763329722,0.0604279845411979,1.0323814343985749,82679.68093296947,347.8885994378526,0.3704618679871959
124,30,knn_imputer,173444.70527393083,0.076217856936658,1.3021433871819226,122594.74996721756,799.6153953427762,-0.0015192213563155
124,30,linear_interpolation,125655.13977831457,0.0552173988352864,0.9433612232171442,66207.57165571825,148.29619403209784,0.4743487390641309
124,30,moving_average,123826.3565430232,0.0544137655460749,0.9296315565048464,68330.06469112392,163.5913579729872,0.4895380393262424
124,30,pca,173444.70527393083,0.076217856936658,1.3021433871819226,122594.74996721756,799.6153953427762,-0.0015192213563155
124,30,softimpute,218585.2462060348,0.0960542381359148,1.6410378883182957,133199.3903139169,99.99999999999932,-0.590665587365486
124,30,throughput_svd_knn,128565.9003957643,0.0564964919962293,0.9652138804296873,75049.08789571091,289.2765066012802,0.4497135909930922
124,40,arima,129673.2604525234,0.0569831059303366,0.9737334497120684,75002.67529353748,251.84969540014885,0.4356267936097426
124,40,kalman,137651.82070897805,0.0604891729689732,1.033645500779047,84438.28129043548,363.1014515583779,0.3640405188987951
124,40,knn_imputer,172786.4833066617,0.0759286104724626,1.2974762712580377,122260.81165922873,782.9050842483272,-0.0020399975657776
124,40,linear_interpolation,126355.69373252422,0.0555252475007964,0.948821407895263,67818.7379354149,161.03023609526153,0.4641352874994018
124,40,moving_average,127437.42108582667,0.056000597500834,0.9569442398785366,71161.3268748879,165.11937982262012,0.4549209699808466
124,40,pca,172786.4833066617,0.0759286104724626,1.2974762712580377,122260.81165922873,782.9050842483272,-0.0020399975657776
124,40,softimpute,218011.37392617544,0.0958020579655421,1.6370758818648297,133171.2087028206,99.99999999999932,-0.5952319151068564
