dataset,missing_rate,method,rmse,mae,n_points,imputed_csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.4,Spline,148791639.3303012,114115505.8297251,406,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr40_Spline_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.4,Mean,107032861.37377186,73233472.16428855,406,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr40_Mean_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.4,LOCF,131230604.74946667,98378848.8888889,406,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr40_LOCF_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.1,SVD_KNN,97342536.05094932,76305602.73048693,104,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_mr10_SVD_KNN_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.1,SVD_KNN_Hankel,94934885.70920242,75830494.035661,104,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_mr10_SVD_KNN_Hankel_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.1,Kalman,188852036.80944544,127753395.76885693,104,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_mr10_Kalman_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.1,ARIMA,96559548.77454802,76678942.50341329,104,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_mr10_ARIMA_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.1,HoltWinters,98621423.83289199,78814167.77032115,104,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_mr10_HoltWinters_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.1,Linear,119670141.74444525,90877797.05128203,104,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_mr10_Linear_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.1,KNN_Sklearn,94535484.23338927,76593390.46812716,104,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_mr10_KNN_Sklearn_imputed.csv
